dt_ps,vpos,fiber,C_point,C_mean,C_std,entangled_2sigma,purity
37.75,67,HCF,0.0,0.001082,0.002738,False,0.366709
38.5,87,HCF,0.0,0.000147,0.001031,False,0.365668
39.75,107,HCF,0.027473,0.027949,0.008598,True,0.376456
58.5,127,HCF,0.147006,0.146974,0.00895,True,0.41366
78.0,147,HCF,0.423187,0.424576,0.009026,True,0.530573
97.25,167,HCF,0.623683,0.624784,0.008057,True,0.662173
116.75,187,HCF,0.806019,0.807301,0.011253,True,0.778592
136.75,207,HCF,0.836831,0.836032,0.006579,True,0.81593
157.5,227,HCF,0.875555,0.874561,0.005233,True,0.854503
177.5,247,HCF,0.902527,0.902027,0.005797,True,0.894139
197.75,267,HCF,0.899135,0.899257,0.004974,True,0.892333
218.5,287,HCF,0.895068,0.894851,0.005572,True,0.884659
238.0,307,HCF,0.897809,0.897682,0.005014,True,0.886347
258.0,327,HCF,0.886507,0.885999,0.005467,True,0.879856
278.5,347,HCF,0.904139,0.903564,0.004827,True,0.893674
298.25,367,HCF,0.893374,0.892855,0.005483,True,0.879466
318.75,387,HCF,0.911004,0.91032,0.004703,True,0.903583
338.25,407,HCF,0.909974,0.909745,0.005748,True,0.901142
358.75,427,HCF,0.898968,0.89868,0.004399,True,0.884412
378.5,447,HCF,0.899811,0.899712,0.005271,True,0.894693
398.25,467,HCF,0.914447,0.914036,0.004959,True,0.904175
418.25,487,HCF,0.900987,0.90103,0.004662,True,0.889235
437.75,507,HCF,0.889194,0.889254,0.005445,True,0.877591
459.0,527,HCF,0.904944,0.905253,0.00498,True,0.894185
478.75,547,HCF,0.904705,0.904994,0.00474,True,0.894677
498.75,567,HCF,0.902373,0.902994,0.005499,True,0.887589
518.5,587,HCF,0.911316,0.911147,0.004904,True,0.89601
78.25,87,SMF28,0.000197,0.001728,0.002141,False,0.385306
89.5,67,SMF28,0.0,0.0,0.0,False,0.376219
106.0,107,SMF28,0.025423,0.025795,0.003798,True,0.390462
114.75,127,SMF28,0.053688,0.053651,0.003423,True,0.396264
117.75,147,SMF28,0.069109,0.069521,0.003664,True,0.400298
121.75,167,SMF28,0.147765,0.147357,0.003688,True,0.426165
122.5,187,SMF28,0.231047,0.231144,0.003937,True,0.456882
140.5,207,SMF28,0.293346,0.293648,0.003629,True,0.481222
159.75,227,SMF28,0.397069,0.39746,0.003814,True,0.525639
178.5,247,SMF28,0.481061,0.481345,0.004006,True,0.558517
198.75,267,SMF28,0.56279,0.563313,0.004077,True,0.591341
217.75,287,SMF28,0.652515,0.652933,0.003938,True,0.664952
237.25,307,SMF28,0.721389,0.721189,0.003225,True,0.724563
257.0,327,SMF28,0.794239,0.794117,0.00237,True,0.800768
276.25,347,SMF28,0.822835,0.822294,0.0027,True,0.832548
295.25,367,SMF28,0.863282,0.863081,0.002569,True,0.877199
314.25,387,SMF28,0.902042,0.902286,0.002071,True,0.918981
335.25,407,SMF28,0.907181,0.907224,0.002013,True,0.92328
355.5,427,SMF28,0.907552,0.90743,0.001946,True,0.925101
375.75,447,SMF28,0.918829,0.91897,0.002105,True,0.934599
396.75,467,SMF28,0.929457,0.929452,0.001858,True,0.942925
417.5,487,SMF28,0.938706,0.938903,0.001714,True,0.952417
436.5,507,SMF28,0.945249,0.945221,0.001706,True,0.956783
456.25,527,SMF28,0.939912,0.939891,0.001827,True,0.951367
476.75,547,SMF28,0.946422,0.946261,0.001653,True,0.954989
497.0,567,SMF28,0.945679,0.945699,0.001706,True,0.955492
517.5,587,SMF28,0.946498,0.946631,0.001791,True,0.956918
